"protein"	"m_diff"	"pval"	"adjpval"	"drug"
"FGFR1OP2"	0.359558473485065	1.03957816556783e-05	0.00394254630744085	"A-1331852"
"BCL2L1"	0.752318401997782	1.17190752618382e-05	0.00394254630744085	"A-1331852"
"CD247"	2.01036048750589	1.22854075399881e-05	0.00394254630744085	"A-1331852"
"GRAP2"	1.50581139108319	1.39008936359494e-05	0.00412520484548762	"A-1331852"
"SENP7"	0.388108355608708	1.43117559680831e-05	0.00412520484548762	"A-1331852"
"MAPRE1"	0.326932308359926	1.56199124685144e-05	0.00414188012290106	"A-1331852"
"SYS1"	0.514449795524567	1.70355439289554e-05	0.00420426275829668	"A-1331852"
"CD3D"	1.36415849751057	1.85386617644026e-05	0.00420426275829668	"A-1331852"
"TNRC6C"	0.815731151465272	1.87082873378351e-05	0.00420426275829668	"A-1331852"
"EPHB6"	1.45365158428906	1.87336251121821e-05	0.00420426275829668	"A-1331852"
"GATA3"	1.43082116031054	1.89536908126549e-05	0.00420426275829668	"A-1331852"
"RHOG"	0.53323237515085	1.90801844477637e-05	0.00420426275829668	"A-1331852"
"MAPK7"	0.375645287815334	2.00115621584407e-05	0.00420426275829668	"A-1331852"
"ZAP70"	0.898296512538973	2.00345162258267e-05	0.00420426275829668	"A-1331852"
"SH2D1A"	1.60964027999119	2.04495831729078e-05	0.00420426275829668	"A-1331852"
"TRPM1"	0.283933793932474	2.14085275114331e-05	0.00420426275829668	"A-1331852"
"TRAT1"	1.3382994850376	2.15177316353516e-05	0.00420426275829668	"A-1331852"
"PRKCH"	1.42727667652628	2.26536745823107e-05	0.00428188727147695	"A-1331852"
"PRR14"	0.582785359267199	2.37613875466568e-05	0.00440042189113011	"A-1331852"
"YOD1"	1.34471926461812	2.41021581538059e-05	0.00440042189113011	"A-1331852"
"SNX17"	0.43105016232967	2.61972394957866e-05	0.00463108978197739	"A-1331852"
"TRAF3IP3"	0.925569040169638	2.70694770831899e-05	0.00466297268533811	"A-1331852"
"KDM3A"	0.530756381306586	2.91313221560671e-05	0.00466297268533811	"A-1331852"
"ARL4C"	1.80579575356808	2.9201729009108e-05	0.00466297268533811	"A-1331852"
"FAM118B"	0.367896164452442	2.93244138243219e-05	0.00466297268533811	"A-1331852"
"LAT"	1.50068831004732	2.9855060358619e-05	0.00466297268533811	"A-1331852"
"MEGF9"	0.715109334293149	3.02682044303552e-05	0.00466297268533811	"A-1331852"
"MSL2"	0.262175543828015	3.05702832919971e-05	0.00466297268533811	"A-1331852"
"TBC1D20"	0.365759081768845	3.20130620096083e-05	0.00466297268533811	"A-1331852"
"TOX"	1.34081569517495	3.20500497516687e-05	0.00466297268533811	"A-1331852"
"RHOH"	1.18385519817212	3.20908889946645e-05	0.00466297268533811	"A-1331852"
"EXT1"	0.793274871107337	3.4727967552785e-05	0.00489576423589072	"A-1331852"
"CANT1"	0.414206449267116	3.7098672763134e-05	0.00502819638368899	"A-1331852"
"UBASH3A"	1.32329401391727	3.87851986522251e-05	0.00503122131901705	"A-1331852"
"ADA"	1.20039109830782	4.16189712990815e-05	0.0052079829590772	"A-1331852"
"THEMIS"	1.41175572594111	4.48933124016055e-05	0.00549425077161188	"A-1331852"
"PFKFB2"	1.27346172780187	4.56503027654062e-05	0.00552616762932966	"A-1331852"
"OSBPL8"	0.357438024664528	5.02780028464727e-05	0.00602092599678674	"A-1331852"
"DNAJC9"	0.357526190480526	5.14159352960167e-05	0.00609169437650785	"A-1331852"
"RALY"	0.249970537734401	6.17208977658299e-05	0.00694328927694998	"A-1331852"
"USP20"	0.579586977838779	6.26385421468241e-05	0.0069760544388918	"A-1331852"
"PDP1"	0.430282829268235	6.62309286302955e-05	0.00709837718200955	"A-1331852"
"UNC13D"	0.771174198966421	6.62863631973596e-05	0.00709837718200955	"A-1331852"
"BOLA1"	0.736278892723262	6.88773498736378e-05	0.00730559090993051	"A-1331852"
"OGN"	1.27401602095183	7.19623746188538e-05	0.00736586682035459	"A-1331852"
"RBCK1"	0.370468310443748	7.27125933167906e-05	0.00736586682035459	"A-1331852"
"DCTN1"	0.188204082734236	7.27525680379819e-05	0.00736586682035459	"A-1331852"
"TCF7"	1.49117982358972	7.41278278203337e-05	0.00740007641269148	"A-1331852"
"CCNI"	0.419166275929877	7.46713729717398e-05	0.00740007641269148	"A-1331852"
"TREML2"	1.75006943345638	7.57986838872363e-05	0.00740007641269148	"A-1331852"
"BICDL1"	1.14815973659728	7.69737354042012e-05	0.00740007641269148	"A-1331852"
"GNAI2"	0.375291741815584	7.74738219014151e-05	0.00740007641269148	"A-1331852"
"NCK1"	0.2871016956556	7.84061252309953e-05	0.00740007641269148	"A-1331852"
"PSD4"	0.596739847679222	8.10689314143934e-05	0.00744869141589025	"A-1331852"
"APOB"	0.923780106450095	8.35103829072227e-05	0.00750044463256241	"A-1331852"
"MTMR3"	0.219679568302466	8.89268676963041e-05	0.00786014702804554	"A-1331852"
"USP32"	0.414879872595516	9.49454918673026e-05	0.00827515859937622	"A-1331852"
"ZFYVE19"	0.367814359999698	9.73004121918648e-05	0.00836127408736723	"A-1331852"
"CD5"	1.38270760289123	0.000101790337055334	0.00858817411958523	"A-1331852"
"PTP4A2"	0.727986433073458	0.000104641652591748	0.00869697078294253	"A-1331852"
"FAM160B1"	0.40095146921571	0.00010851509821338	0.00888626947648833	"A-1331852"
"BUD13"	0.238471197218751	0.000111870002310554	0.00901133137184536	"A-1331852"
"MFSD14B"	0.443099728851109	0.000113144746725844	0.00901133137184536	"A-1331852"
"DCTN4"	0.179335748270104	0.000118652061493871	0.00937182985005133	"A-1331852"
